区站号,省份,站名,站类,经度,纬度,观测场拔海高度（米）,气压传感器拔海高度（米）
53725 ,陕西,定边,基准站,10735,3735 ,1360.3 ,1361.2 
53727 ,宁夏,麻黄山,一般站,10707,3710 ,1712.5 ,1713.8 
53730,内蒙古,鄂托克前旗,一般站,10729,3811,1333.3 ,1334.4 
53732,内蒙古,河南,一般站,10843,3751,1209.9 ,1211.1 
53735 ,陕西,靖边,基本站,10848,3737 ,1336.7 ,1337.8 
53738 ,陕西,吴起,基本站,10810,3655 ,1331.4 ,1332.0 
53740 ,陕西,横山,基本站,10914,3756 ,1111.0 ,1112.0 
53748 ,陕西,子长,一般站,10942,3711 ,1063.3 ,1064.4 
53750 ,陕西,米脂,一般站,11011,3746 ,931.0 ,931.6 
53751 ,陕西,子洲,一般站,11003,3736 ,894.6 ,895.8 
53753 ,山西,柳林,一般站,11053,3726 ,860.1 ,861.6 
53754 ,陕西,绥德,基准站,11013,3730 ,929.7 ,930.7 
53756 ,陕西,吴堡,一般站,11043,3731 ,744.0 ,745.0 
53757 ,陕西,清涧,一般站,11007,3707 ,938.0 ,938.8 
53759 ,山西,石楼,一般站,11050,3659 ,1109.1 ,1110.7 
53760 ,山西,方山,一般站,11114,3753 ,1212.4 ,1213.3 
53763 ,山西,古交,一般站,11210,3755 ,1006.8 ,1008.3 
53764 ,山西,离石,基本站,11106,3730 ,950.8 ,951.7 
53767 ,山西,中阳,一般站,11110,3720 ,1213.1 ,1214.6 
53768 ,山西,孝义,一般站,11145,3709 ,773.4 ,774.3 
53769 ,山西,汾阳,一般站,11147,3715 ,747.7 ,749.1 
53770 ,山西,祁县,一般站,11221,3721 ,768.8 ,770.1 
53771 ,山西,文水,一般站,11203,3725 ,750.0 ,751.3 
53772 ,山西,太原,基本站,11235,3737 ,776.3 ,777.3 
53773 ,河北,临漳,一般站,11437 ,3620,64.6 ,65.8 
53774,山西,清徐,一般站,11222,3735 ,759.9 ,760.9 
53775,山西,太谷,基本站,11236,3725 ,785.8 ,786.7 
53776 ,山西,榆次,一般站,11246,3741 ,831.2 ,832.6 
53777 ,山西,交城,一般站,11209,3731 ,753.6 ,754.6 
53778 ,山西,平遥,一般站,11213,3710 ,780.3 ,781.8 
53780 ,山西,寿阳,一般站,11309,3754 ,1066.1 ,1067.6 
53781 ,河北,沙河,一般站,11428,3652 ,67.9 ,68.9 
53782 ,山西,阳泉,一般站,11337,3756 ,767.2 ,768.9 
53783 ,山西,昔阳,一般站,11343,3736 ,940.3 ,941.8 
53784 ,河北,赵县,一般站,11447,3745 ,38.5 ,39.6 
53785 ,河北,柏乡,一般站,11440,3731 ,35.0 ,36.0 
53786,山西,左权,一般站,11320,3705 ,1152.5 ,1154.0 
53787 ,山西,榆社,基准站,11259,3704 ,1041.4 ,1042.3 
53788 ,山西,和顺,一般站,11334,3720 ,1265.7 ,1267.2 
53789 ,河北,栾城,一般站,11438,3753 ,52.9 ,54.0 
53790 ,河北,高邑,一般站,11436,3738,44.5 ,45.7 
53791 ,河北,元氏,一般站,11430,3748 ,68.4 ,69.4 
53792 ,河北,临城,一般站,11429,3727 ,113.0 ,114.0 
53794 ,河北,隆尧,一般站,11445,3721 ,33.1 ,34.3 
53795 ,河北,赞皇,一般站,11424,3739 ,159.3 ,160.4 
53796 ,河北,宁晋,一般站,11453,3737 ,30.6 ,31.6 
53797 ,河北,内丘,一般站,11423,3717 ,163.6 ,164.6 
53798 ,河北,邢台,基本站,11422,3711 ,183.0 ,184.0 
53799 ,河北,巨鹿,一般站,11459,3714,25.9 ,26.9 
53806 ,宁夏,海原,基本站,10539,3634 ,1854.2 ,1854.8 
53810 ,宁夏,同心,基本站,10554,3658 ,1339.3 ,1340.7 
53817 ,宁夏,固原,基准站,10616,3600 ,1753.0 ,1754.2 
53821,甘肃,环县,基本站,10718,3634,1255.6 ,1257.2 
53829,甘肃,庆城,一般站,10754,3559 ,1093.7 ,1095.4 
53832 ,陕西,志丹,一般站,10846,3646 ,1218.8 ,1220.0 
53841 ,陕西,安塞,一般站,10919,3653 ,1068.3 ,1069.1 
53848 ,陕西,甘泉,一般站,10921,3616 ,1005.5 ,1006.7 
53850 ,陕西,延川,一般站,11011,3653 ,804.9 ,805.7 
53852 ,山西,永和,一般站,11038,3646 ,916.6 ,918.1 
53853 ,山西,隰县,基本站,11057,3642 ,1052.7 ,1053.6 
53854 ,陕西,延长,基本站,11004,3635 ,804.8 ,805.5 
53856 ,山西,大宁,一般站,11045,3628 ,765.9 ,767.4 
53857 ,陕西,宜川,一般站,11011,3604 ,840.3 ,841.1 
53859 ,山西,吉县,基本站,11040,3606 ,851.3 ,852.3 
53860 ,山西,交口,一般站,11110,3659 ,1406.7 ,1407.2 
53861 ,山西,襄汾,一般站,11123,3553 ,463.5 ,465.0 
53862 ,山西,灵石,一般站,11148,3651 ,811.7 ,813.2 
53863 ,山西,介休,基本站,11157,3704 ,746.0 ,747.5 
53864 ,山西,蒲县,一般站,11106,3624 ,1030.6 ,1032.1 
53865 ,山西,汾西,一般站,11133,3639 ,1011.9 ,1013.4 
53866 ,山西,洪洞,一般站,11140,3614 ,462.8 ,464.3 
53868 ,山西,临汾,基本站,11130,3604 ,449.5 ,450.4 
53869 ,山西,霍州,一般站,11142,3635 ,550.0 ,551.5 
53871 ,山西,武乡,一般站,11252,3651 ,1080.3 ,1081.3 
53872 ,山西,沁县,一般站,11241,3646 ,960.7 ,961.6 
53873 ,山西,长子,一般站,11252,3606 ,951.1 ,952.6 
53874 ,山西,古县,一般站,11154,3615 ,648.7 ,650.2 
53875 ,山西,沁源,一般站,11221,3631 ,1000.0 ,1001.0 
53877 ,山西,安泽,基本站,11215,3610 ,860.1 ,861.0 
53878 ,山西,黎城,一般站,11323,3631 ,767.9 ,769.4 
53879 ,山西,屯留,一般站,11253,3619 ,952.3 ,953.8 
53880 ,山西,潞城,一般站,11314,3620 ,947.6 ,949.1 
53881 ,宁夏,韦州,一般站,10629,3717 ,1382.2 ,1383.5 
53882,山西,长治,基本站,11302,3604 ,1046.9 ,1047.9 
53883 ,河北,任县,一般站,11442,3708 ,36.5 ,37.5 
53884 ,山西,襄垣,基本站,11302,3631 ,877.9 ,878.8 
53885 ,山西,壶关,一般站,11312,3607 ,1122.0 ,1123.2 
53886 ,河北,涉县,一般站,11340 ,3634,470.4 ,471.6 
53888 ,山西,平顺,一般站,11326,3612 ,1089.2 ,1090.7 
53889 ,河南,林州,一般站,11352 ,3604 ,414.4 ,415.3 
53890 ,河北,武安,一般站,11406,3640,280.1 ,281.3 
53891 ,河北,南和,一般站,11441,3701,43.0 ,44.0 
53892 ,河北,邯郸,一般站,11428 ,3637,66.6 ,67.7 
53893 ,河北,曲周,一般站,11500 ,3647,37.9 ,39.1 
53894 ,河北,峰峰,一般站,11412 ,3624,149.3 ,150.5 
53895 ,河北,永年,一般站,11427 ,3645,111.0 ,112.0 
53896 ,河北,魏县,一般站,11457 ,3620,51.6 ,52.8 
53897 ,河北,磁县,一般站,11421 ,3624,87.4 ,88.6 
53898 ,河南,安阳,基本站,11408 ,3603 ,194.8 ,195.7 
53899 ,河北,广平,一般站,11458 ,3629,48.5 ,49.7 
53903 ,宁夏,西吉,基本站,10543,3558 ,1916.5 ,1917.9 
53906,甘肃,静宁,一般站,10543,3531,1656.4 ,1658.0 
53908,甘肃,通渭,一般站,10514,3513 ,1769.8 ,1771.3 
53910 ,宁夏,六盘山,基准站,10612,3540 ,2841.2 ,2842.1 
53914 ,宁夏,隆德,一般站,10607,3537 ,2078.6 ,2079.7 
53915,甘肃,崆峒,基本站,10640,3532,1467.6 ,1469.1 
53916 ,宁夏,泾源,一般站,10619,3530 ,1948.6 ,1949.1 
53917,甘肃,庄浪,一般站,10604,3513,1631.0 ,1632.7 
53923,甘肃,西峰,基本站,10738,3544,1421.0 ,1422.6 
53924,甘肃,灵台,一般站,10737,3504,966.6 ,968.3 
53925,甘肃,镇原,一般站,10711,3541,1172.5 ,1174.1 
53926,甘肃,泾川,一般站,10721,3521,1028.8 ,1030.5 
53927,甘肃,华亭,一般站,10637,3512,1477.6 ,1479.2 
53928,甘肃,崇信,一般站,10701,3518,1149.1 ,1150.7 
53929 ,陕西,长武,基本站,10748,3512 ,1206.5 ,1206.8 
53930,甘肃,华池,一般站,10759,3627,1420.0 ,1421.5 
53931 ,陕西,富县,一般站,10922,3600 ,984.0 ,984.8 
53934,甘肃,合水,一般站,10759,3547 ,1274.3 ,1275.9 
53935,甘肃,正宁,一般站,10824,3529,1481.9 ,1483.5 
53937,甘肃,宁县,一般站,10753,3532 ,1135.3 ,1136.8 
53938 ,陕西,旬邑,一般站,10818,3510 ,1277.0 ,1277.9 
53941 ,陕西,白水,一般站,10935,3511 ,804.4 ,805.7 
53942 ,陕西,洛川,基准站,10925,3546 ,1155.9 ,1156.9 
53944 ,陕西,黄陵,一般站,10915,3534 ,863.0 ,864.2 
53945 ,陕西,宜君,一般站,10904,3526 ,1395.2 ,1396.4 
53946 ,陕西,黄龙,一般站,10949,3536 ,1091.0 ,1092.2 
53947 ,陕西,铜川,一般站,10904,3505 ,978.9 ,979.7 
53948 ,陕西,蒲城,基本站,10935,3457 ,499.2 ,500.2 
53949 ,陕西,澄城,一般站,10955,3511 ,679.1 ,680.4 
53950 ,陕西,合阳,一般站,11009,3514 ,708.8 ,709.9 
53953 ,山西,乡宁,一般站,11051,3557 ,1290.0 ,1290.9 
53954 ,山西,稷山,一般站,11058,3537 ,433.5 ,435.0 
53956 ,山西,万荣,一般站,11050,3524 ,588.4 ,589.6 
53957 ,山西,河津,一般站,11043,3537 ,459.2 ,460.7 
53958,山西,临猗,一般站,11047,3510 ,435.6 ,436.7 
53959 ,山西,运城,基本站,11104,3507 ,375.0 ,376.5 
53961 ,山西,曲沃,一般站,11129,3539 ,472.6 ,473.5 
53962 ,山西,翼城,一般站,11142,3544 ,584.5 ,586.0 
53963 ,山西,侯马,基准站,11122,3539 ,433.8 ,435.1 
53964 ,山西,新绛,一般站,11113,3537 ,430.8 ,432.3 
53965 ,山西,绛县,一般站,11134,3531 ,761.0 ,762.5 
53966 ,山西,浮山,一般站,11150,3559 ,817.2 ,818.7 
53967 ,山西,闻喜,一般站,11112,3520 ,468.3 ,469.8 
53968 ,山西,垣曲,基本站,11140,3517 ,505.0 ,505.9 
53970 ,山西,沁水,一般站,11212,3542 ,887.3 ,888.3 
53972 ,河南,沁阳,一般站,11254 ,3503 ,117.5 ,118.5 
53973 ,山西,高平,一般站,11257,3546 ,837.3 ,838.8 
53974 ,河南,淇县,一般站,11414 ,3537 ,70.4 ,71.3 
53975 ,山西,阳城,基本站,11224,3529 ,659.5 ,661.1 
53976 ,山西,晋城,一般站,11252,3530 ,752.6 ,753.6 
53978 ,河南,济源,一般站,11238 ,3505 ,140.1 ,140.9 
53979 ,河南,博爱,一般站,11305 ,3509 ,120.0 ,121.1 
53980 ,河北,肥乡,一般站,11448 ,3633,50.2 ,51.3 
53981 ,山西,陵川,一般站,11316,3547 ,1311.6 ,1313.2 
53982 ,河南,焦作,一般站,11316 ,3514 ,112.0 ,113.5 
53983 ,河南,封丘,一般站,11425 ,3502 ,69.6 ,70.7 
53984 ,河南,修武,一般站,11328 ,3514 ,82.7 ,83.7 
53985 ,河南,辉县,一般站,11349 ,3530 ,140.7 ,142.2 
53986 ,河南,新乡,基本站,11353 ,3519 ,73.2 ,74.2 
53987 ,河南,武陟,一般站,11321 ,3506 ,94.5 ,95.5 
53988 ,河南,获嘉,一般站,11340 ,3516 ,77.6 ,78.6 
53989 ,河南,原阳,一般站,11359 ,3505 ,75.9 ,76.9 
53991 ,河南,汤阴,一般站,11420 ,3555 ,93.0 ,93.9 
53992 ,河南,浚县,一般站,11431 ,3539 ,58.2 ,59.2 
53993 ,河南,内黄,一般站,11455 ,3556 ,51.6 ,52.4 
53994 ,河南,卫辉,一般站,11404 ,3523 ,70.0 ,70.8 
53995 ,河南,滑县,一般站,11430 ,3533 ,62.5 ,64.1 
53996 ,河北,成安,一般站,11439 ,3627,57.9 ,59.0 
53997 ,河南,延津,一般站,11411 ,3509 ,71.1 ,72.1 
53998 ,河南,长垣,一般站,11439 ,3512 ,61.6 ,62.5 
54012,内蒙古,西乌珠穆沁,基本站,11738,4434,1001.7 ,1002.6 
54024,内蒙古,富河,一般站,11918,4427,710.0 ,711.4 
54026,内蒙古,扎鲁特,基本站,12054,4434,265.0 ,266.0 
54027,内蒙古,巴林左旗,基准站,11924,4359,486.2 ,486.9 
54031,内蒙古,高力板,一般站,12149,4454,198.3 ,199.8 
54039,内蒙古,舍伯吐,一般站,12201,4402,181.6 ,183.1 
54041 ,吉林,通榆,基本站,12304,4448,150.0 ,151.5 
54047,内蒙古,科左中旗,一般站,12317,4408,145.8 ,147.3 
54049 ,吉林,长岭,基本站,12358,4415 ,188.9 ,190.4 
54063 ,吉林,扶余,基本站,12600,4458 ,196.8 ,198.3 
54064 ,吉林,农安,基本站,12509,4423 ,170.2 ,171.7 
54065 ,吉林,德惠,一般站,12539,4432 ,169.1 ,170.4 
54069 ,吉林,九台,一般站,12548,4407 ,173.6 ,174.6 
54072 ,吉林,榆树,一般站,12631,4451 ,196.5 ,198.4 
54076 ,吉林,舒兰,一般站,12656,4423 ,268.1 ,269.3 
54080 ,黑龙江,五常,一般站,12709,4454,194.6 ,196.5 
54092 ,黑龙江,海林,一般站,12924,4436,292.1 ,293.5 
54093 ,黑龙江,穆棱,一般站,13033,4456,266.3 ,266.9 
54094 ,黑龙江,牡丹江,基本站,12940,4430,305.7 ,306.5 
54096 ,黑龙江,绥芬河,基本站,13110,4423,567.8 ,568.6 
54098 ,黑龙江,宁安,一般站,12928,4420,267.9 ,268.8 
54099 ,黑龙江,东宁,一般站,13108,4405,148.6 ,150.0 
54102,内蒙古,锡林浩特,基准站,11607,4357,1003.0 ,1003.8 
54113,内蒙古,巴林右旗,一般站,11839,4332,621.4 ,622.5 
54115,内蒙古,林西县,基本站,11802,4338,825.0 ,826.0 
54117,内蒙古,克什克腾旗,一般站,11732,4315,1003.3 ,1004.4 
54122,内蒙古,阿鲁科尔沁旗,一般站,12002,4352,428.9 ,429.9 
54132,内蒙古,青龙山,一般站,12104,4224,400.0 ,401.1 
54134,内蒙古,开鲁,基准站,12117,4336,241.0 ,242.0 
54135,内蒙古,通辽,基本站,12216,4336,178.7 ,179.7 
54142 ,吉林,双辽,基本站,12332,4330 ,114.9 ,116.7 
54154 ,吉林,梨树,一般站,12418,4321 ,160.2 ,160.6 
54155 ,吉林,孤家子,一般站,12414,4340 ,144.2 ,145.0 
54157 ,吉林,四平,基本站,12423,4307 ,179.5 ,181.0 
54161 ,吉林,长春,基准站,12513,4354 ,236.8 ,237.8 
54164 ,吉林,伊通,一般站,12517,4321 ,248.1 ,249.2 
54165 ,吉林,双阳,基本站,12538,4333 ,219.5 ,220.5 
54169 ,吉林,烟筒山,一般站,12601,4318 ,271.6 ,273.1 
54171 ,吉林,永吉,基本站,12631,4342 ,229.5 ,231.3 
54172 ,吉林,吉林城郊,一般站,12632,4352 ,290.3 ,291.7 
54181 ,吉林,蛟河,基本站,12720,4342 ,295.0 ,296.8 
54186 ,吉林,敦化,基准站,12812,4322 ,524.9 ,526.0 
54187 ,吉林,安图,一般站,12855,4307 ,366.6 ,367.8 
54192 ,吉林,罗子沟,一般站,13016,4342 ,384.6 ,386.0 
54195 ,吉林,汪清,基本站,12947,4318 ,244.8 ,246.2 
54204,内蒙古,正镶白旗,一般站,11500,4218,1346.3 ,1347.8 
54205,内蒙古,正蓝旗,一般站,11600,4214,1315.5 ,1316.6 
54208,内蒙古,多伦县,基准站,11628,4211,1245.4 ,1246.7 
54213,内蒙古,翁牛特旗,基本站,11901,4256,634.3 ,634.9 
54214,内蒙古,岗子,一般站,11825,4235,960.0 ,961.3 
54218,内蒙古,赤峰,基准站,11850,4218,668.6 ,669.6 
54223,内蒙古,奈曼,一般站,12039,4251,362.9 ,363.7 
54225,内蒙古,敖汉旗,一般站,11957,4218,579.4 ,580.3 
54226,内蒙古,宝国吐,基本站,12042,4220,400.5 ,401.4 
54231,内蒙古,科左后旗,一般站,12222,4255,256.9 ,257.9 
54234,内蒙古,库伦,一般站,12145,4244,297.8 ,299.0 
54236 ,辽宁,彰武,基本站,12233,4223 ,79.4 ,80.4 
54243 ,辽宁,昌图,基准站,12406,4247 ,165.1 ,166.0 
54244 ,辽宁,康平,一般站,12321,4244 ,118.6 ,120.1 
54245 ,辽宁,法库,一般站,12324,4230 ,97.8 ,99.3 
54248 ,辽宁,沈北新区,一般站,12332,4202,61.6 ,62.8 
54249 ,辽宁,铁岭,一般站,12352,4218 ,85.4 ,86.7 
54252 ,辽宁,西丰,一般站,12444,4244 ,196.1 ,197.1 
54254 ,辽宁,开原,基本站,12403,4232 ,98.2 ,99.2 
54259,辽宁,清原,基本站,12452,4204,224.0 ,224.6 
54260 ,吉林,辽源,基本站,12505,4255 ,252.9 ,254.4 
54261 ,吉林,东丰,一般站,12528,4240 ,345.3 ,345.8 
54263 ,吉林,磐石,基本站,12605,4258 ,351.2 ,352.8 
54266 ,吉林,梅河口,基本站,12538,4232 ,340.5 ,342.2 
54267 ,吉林,柳河,一般站,12544,4215 ,362.3 ,363.2 
54273 ,吉林,桦甸,基本站,12645,4259 ,263.3 ,264.8 
54274 ,吉林,辉南,一般站,12559,4241 ,306.7 ,308.3 
54276 ,吉林,靖宇,基本站,12648,4224,570.0 ,570.7 
54279 ,吉林,江源,一般站,12635,4203 ,544.4 ,545.4 
54284 ,吉林,东岗,基准站,12730 ,4209,774.2 ,775.4 
54285 ,吉林,二道,基本站,12807,4224 ,731.7 ,733.4 
54286 ,吉林,和龙,基本站,12900,4232 ,475.6 ,477.1 
54290 ,吉林,龙井,一般站,12924,4246 ,241.1 ,242.6 
54291 ,吉林,珲春,一般站,13017,4254 ,36.5 ,37.8 
54292 ,吉林,延吉,基本站,12930,4252 ,257.3 ,259.1 
54293 ,吉林,图们,一般站,12950,4257 ,142.8 ,144.1 
54301 ,河北,沽源,一般站,11539,4140 ,1411.2 ,1412.3 
54304 ,河北,崇礼,一般站,11516,4057,1239.8 ,1241.1 
54305,内蒙古,太仆寺旗,一般站,11516,4153,1468.9 ,1470.0 
54308 ,河北,丰宁,基准站,11638,4112,735.1 ,736.3 
54311 ,河北,围场,基本站,11746,4158,892.7 ,893.8 
54313,内蒙古,喀喇沁旗,一般站,11842,4156,733.7 ,734.8 
54316,内蒙古,八里罕,一般站,11845,4131,679.3 ,680.7 
54318 ,河北,隆化,一般站,11744,4119,561.6 ,562.8 
54319 ,河北,平泉,一般站,11840,4100,502.3 ,503.3 
54320,内蒙古,宁城县,一般站,11918,4136,544.2 ,545.3 
54321 ,辽宁,建平镇,一般站,11943,4154 ,661.8 ,662.7 
54323 ,辽宁,北票,一般站,12047,4149 ,253.8 ,254.6 
54324 ,辽宁,朝阳,基准站,12026,4133 ,174.3 ,175.3 
54325 ,辽宁,羊山,一般站,12022,4111 ,183.8 ,184.6 
54326,辽宁,建平县,基本站,11937,4125,462.2 ,463.0 
54327 ,辽宁,凌源,一般站,11923,4115 ,417.1 ,417.9 
54328 ,辽宁,喀左,一般站,11946,4107 ,341.0 ,342.2 
54332 ,辽宁,辽中,一般站,12242,4131 ,12.2 ,12.9 
54333 ,辽宁,新民,基准站,12251,4158 ,30.9 ,32.1 
54336 ,辽宁,台安,一般站,12226,4125 ,8.3 ,9.3 
54338 ,辽宁,盘山,一般站,12202,4116 ,4.8 ,5.4 
54339 ,辽宁,鞍山,基本站,12300,4105 ,77.3 ,78.2 
54340 ,辽宁,苏家屯,一般站,12319,4140 ,35.8 ,37.3 
54342 ,辽宁,沈阳,基本站,12331,4144 ,49.0 ,49.5 
54345 ,辽宁,辽阳县,一般站,12304,4112 ,30.7 ,32.1 
54346 ,辽宁,本溪,基本站,12347,4118 ,185.4 ,186.4 
54347 ,辽宁,辽阳,一般站,12311,4115 ,24.8 ,25.8 
54348 ,辽宁,灯塔,一般站,12322 ,4125 ,45.0 ,46.0 
54351 ,辽宁,抚顺,基本站,12404,4155 ,118.5 ,119.1 
54353 ,辽宁,新宾,基本站,12502,4143 ,328.4 ,329.0 
54362 ,吉林,通化县,一般站,12544,4140 ,380.1 ,381.3 
54363 ,吉林,通化,基本站,12554,4141 ,402.9 ,404.6 
54371 ,吉林,白山,一般站,12626,4156 ,520.6 ,521.8 
54374 ,吉林,临江,基本站,12653,4148 ,379.7 ,381.3 
54377 ,吉林,集安,基本站,12613,4109,225.1 ,226.1 
54386 ,吉林,长白,基本站,12811,4125 ,775.0 ,776.5 
54398 ,北京,顺义,一般站,11637,4008 ,28.6 ,29.6 
54399 ,北京,海淀,一般站,11617,3959 ,45.8 ,46.9 
54401 ,河北,张家口,基本站,11455,4046,772.8 ,774.0 
54404 ,河北,赤城,一般站,11550,4053 ,867.6 ,868.7 
54405 ,河北,怀来,基本站,11530,4025 ,570.9 ,572.1 
54406 ,北京,延庆,基本站,11558,4027 ,487.9 ,489.1 
54408 ,河北,涿鹿,一般站,11513,4023 ,529.6 ,530.7 
54416 ,北京,密云,基准站,11652,4023 ,71.8 ,73.0 
54419 ,北京,怀柔,一般站,11638,4022 ,75.7 ,76.8 
54420 ,河北,滦平,一般站,11720,4056,529.0 ,530.1 
54421 ,北京,上甸子,一般站,11707,4039 ,293.3 ,294.3 
54423 ,河北,承德,基本站,11755,4058,422.3 ,423.5 
54424 ,北京,平谷,一般站,11707,4010 ,32.1 ,33.3 
54425 ,河北,兴隆,一般站,11728 ,4024,633.2 ,634.4 
54428 ,天津,蓟州,一般站,11727,4003 ,32.0 ,33.2 
54429 ,河北,遵化,基本站,11757,4012 ,54.9 ,56.1 
54430 ,河北,承德县,一般站,11813,4047,330.0 ,331.1 
54431 ,北京,通州,一般站,11645,3951 ,19.8 ,20.8 
54432 ,河北,宽城,一般站,11828,4037 ,369.3,370.4
54433 ,北京,朝阳,一般站,11630,3957 ,35.3 ,36.3 
54434 ,河北,迁西,一般站,11820,4010,131.6 ,132.8 
54436 ,河北,青龙,基本站,11857,4025,254.3 ,255.4 
54437 ,河北,滦南,一般站,11837,3930,18.3 ,19.3 
54438 ,河北,卢龙,一般站,11853,3953 ,65.0 ,66.1 
54439 ,河北,迁安,一般站,11843,4001 ,50.9 ,52.0 
54449 ,河北,秦皇岛,基本站,11931,3951 ,2.4 ,3.5 
54452 ,辽宁,建昌,基本站,11948,4048 ,367.0 ,367.8 
54453 ,辽宁,连山区,一般站,12058,4052 ,38.9 ,39.9 
54454 ,辽宁,绥中,基本站,12018,4020 ,29.0 ,29.6 
54455 ,辽宁,兴城,基准站,12039,4037 ,20.5 ,21.5 
54470 ,辽宁,大洼,基本站,12203,4101 ,5.5 ,6.4 
54471 ,辽宁,营口,基本站,12210,4040 ,3.8 ,4.7 
54474 ,辽宁,盖州,一般站,12221,4025 ,24.8 ,25.7 
54475 ,辽宁,大石桥,一般站,12227,4034 ,11.5 ,12.9 
54476 ,辽宁,熊岳,基本站,12209,4011 ,20.4 ,21.4 
54483 ,辽宁,草河口,一般站,12354,4052 ,233.6 ,234.6 
54486 ,辽宁,岫岩,基本站,12317,4020 ,97.7 ,98.6 
54493 ,辽宁,宽甸,基准站,12447,4043 ,260.1 ,261.1 
54494 ,辽宁,凤城,一般站,12403,4028 ,72.6 ,73.5 
54497 ,辽宁,丹东,基本站,12420,4002 ,13.8 ,14.7 
54499 ,北京,昌平,一般站,11613,4013 ,76.2 ,77.4 
54501 ,北京,斋堂,一般站,11541,3958 ,440.3 ,441.3 
54502 ,河北,涿州,一般站,11602 ,3929,29.3 ,30.4 
54503 ,河北,容城,一般站,11549,3904,12.8 ,14.0 
54505,北京,门头沟,一般站,11609,3953,85.5 ,86.6 
54506 ,河北,高碑店,一般站,11557 ,3919,24.6 ,25.7 
54507 ,河北,易县,一般站,11531,3920,49.3 ,50.8 
54510 ,河北,大厂,一般站,11657,3955,18.3 ,19.3 
54511 ,北京,北京,基本站,11628,3948 ,31.3 ,32.3 
54512 ,河北,固安,一般站,11617,3925,21.4 ,22.6 
54513 ,北京,石景山,一般站,11612,3957 ,63.0 ,64.1 
54514 ,北京,丰台,一般站,11615,3952 ,55.2 ,56.7 
54515 ,河北,廊坊,一般站,11642,3930 ,13.7 ,14.8 
54518 ,河北,霸州,基本站,11624,3910,8.9 ,10.4 
54519 ,河北,永清,一般站,11629,3918 ,12.2 ,13.4 
54520 ,河北,三河,一般站,11705,3958 ,18.1 ,19.3 
54521 ,河北,香河,一般站,11659,3942 ,9.4 ,10.6 
54522 ,河北,玉田,一般站,11744,3953 ,14.4 ,15.6 
54523 ,天津,武清,一般站,11704,3926 ,8.2 ,9.4 
54525 ,天津,宝坻,基本站,11717,3944 ,5.1 ,6.3 
54526 ,天津,东丽,一般站,11720,3905 ,1.9 ,2.6 
54527 ,天津,西青,基本站,11703,3905 ,3.5 ,4.3 
54528 ,天津,北辰,一般站,11708,3914 ,3.4 ,4.6 
54529 ,天津,宁河,一般站,11749,3921 ,3.9 ,5.1 
54530 ,天津,汉沽,一般站,11746,3914 ,1.3 ,2.5 
54531 ,河北,滦县,一般站,11843,3944,43.0 ,44.1 
54532 ,河北,丰润,一般站,11805,3948,31.6 ,32.8 
54533 ,河北,丰南,一般站,11806,3935,8.9 ,10.1 
54534 ,河北,唐山,基本站,11806,3939 ,23.2 ,24.4 
54535 ,河北,曹妃甸,基准站,11828,3917 ,3.2 ,4.4 
54539 ,河北,乐亭,基本站,11853,3926 ,8.5 ,9.7 
54540 ,河北,昌黎 ,一般站,11912,3944 ,17.6 ,18.7 
54541 ,河北,抚宁,一般站,11914,3954 ,24.3 ,25.4 
